model_id,condition,n_subjects,hours_budget,exposure_h,endpoint,stage,role,subset_seed,init_seed,run_id
M1_CBraMod,fixed_hours,128,50,,smoke,P0_smoke,smoke,0,0,M1_CBraMod_fixed_hours_N128_H50_s0
M1_CBraMod,fixed_hours,32,50,,smoke,P0_smoke,smoke,0,0,M1_CBraMod_fixed_hours_N32_H50_s0
M1_CBraMod,fixed_budget_frontier,128,200,1.5625,deep_clinical_flagged,P1_frontier,primary,0,0,M1_CBraMod_frontier_N128_T200_s0
M1_CBraMod,fixed_budget_frontier,128,200,1.5625,deep_clinical_flagged,P1_frontier,primary,1,1,M1_CBraMod_frontier_N128_T200_s1
M1_CBraMod,fixed_budget_frontier,128,200,1.5625,deep_clinical_flagged,P1_frontier,primary,2,2,M1_CBraMod_frontier_N128_T200_s2
M1_CBraMod,fixed_budget_frontier,256,200,0.78125,general,P1_frontier,primary,0,0,M1_CBraMod_frontier_N256_T200_s0
M1_CBraMod,fixed_budget_frontier,256,200,0.78125,general,P1_frontier,primary,1,1,M1_CBraMod_frontier_N256_T200_s1
M1_CBraMod,fixed_budget_frontier,256,200,0.78125,general,P1_frontier,primary,2,2,M1_CBraMod_frontier_N256_T200_s2
M1_CBraMod,fixed_budget_frontier,512,200,0.390625,general,P1_frontier,primary,0,0,M1_CBraMod_frontier_N512_T200_s0
M1_CBraMod,fixed_budget_frontier,512,200,0.390625,general,P1_frontier,primary,1,1,M1_CBraMod_frontier_N512_T200_s1
M1_CBraMod,fixed_budget_frontier,512,200,0.390625,general,P1_frontier,primary,2,2,M1_CBraMod_frontier_N512_T200_s2
M1_CBraMod,fixed_budget_frontier,1024,200,0.195312,general,P1_frontier,primary,0,0,M1_CBraMod_frontier_N1024_T200_s0
M1_CBraMod,fixed_budget_frontier,1024,200,0.195312,general,P1_frontier,primary,1,1,M1_CBraMod_frontier_N1024_T200_s1
M1_CBraMod,fixed_budget_frontier,1024,200,0.195312,general,P1_frontier,primary,2,2,M1_CBraMod_frontier_N1024_T200_s2
M1_CBraMod,fixed_budget_frontier,2048,200,0.097656,general,P1_frontier,primary,0,0,M1_CBraMod_frontier_N2048_T200_s0
M1_CBraMod,fixed_budget_frontier,2048,200,0.097656,general,P1_frontier,primary,1,1,M1_CBraMod_frontier_N2048_T200_s1
M1_CBraMod,fixed_budget_frontier,2048,200,0.097656,general,P1_frontier,primary,2,2,M1_CBraMod_frontier_N2048_T200_s2
